user_id	item_id	rating	timestep
1	183	4	1
1	196	4	2
1	231	5	3
1	162	3	4
1	121	4	5
1	201	4	6
1	25	5	7
1	266	4	8
2	42	5	1
2	22	5	2
2	249	5	3
2	188	4	4
2	139	4	5
2	73	5	6
2	162	4	7
2	119	5	8
2	223	5	9
2	192	5	10
2	222	5	11
2	208	3	12
2	118	4	13
2	213	3	14
2	11	1	15
2	231	4	16
2	69	4	17
2	212	5	18
2	246	4	19
2	100	4	20
2	78	3	21
2	203	4	22
2	91	5	23
2	247	3	24
2	218	4	25
2	3	5	26
2	221	5	27
2	74	5	28
2	238	5	29
2	40	5	30
2	14	4	31
2	254	4	32
2	56	4	33
2	81	5	34
2	5	5	35
2	62	5	36
2	260	4	37
3	58	5	1
3	70	5	2
3	1	5	3
3	239	5	4
3	190	5	5
3	79	3	6
3	42	5	7
3	166	3	8
3	83	4	9
3	99	3	10
3	183	5	11
3	252	5	12
4	226	4	1
4	168	4	2
4	99	4	3
4	8	3	4
5	210	3	1
5	242	4	2
5	34	4	3
5	77	3	4
5	237	5	5
5	154	5	6
5	138	5	7
5	91	4	8
5	182	4	9
5	95	4	10
5	29	5	11
5	56	4	12
6	257	4	1
6	264	5	2
6	26	4	3
6	49	4	4
6	66	3	5
6	260	4	6
6	184	4	7
6	213	5	8
6	36	5	9
6	106	3	10
6	68	5	11
6	254	4	12
6	109	5	13
6	94	3	14
6	47	5	15
6	54	4	16
6	90	3	17
6	241	2	18
6	199	3	19
6	194	4	20
6	166	4	21
6	5	5	22
6	137	4	23
6	15	4	24
6	43	4	25
6	30	3	26
6	52	4	27
6	55	4	28
6	27	5	29
6	201	5	30
6	78	4	31
6	17	4	32
6	29	3	33
6	13	5	34
6	39	4	35
6	20	4	36
6	75	1	37
6	40	5	38
6	188	3	39
6	4	5	40
6	243	5	41
6	99	3	42
6	57	4	43
6	261	2	44
6	178	3	45
6	193	5	46
6	171	4	47
6	256	4	48
6	164	4	49
6	209	3	50
6	266	4	51
6	153	4	52
6	244	3	53
6	84	5	54
6	140	5	55
6	105	5	56
6	19	5	57
6	63	3	58
6	86	5	59
6	37	4	60
6	32	4	61
6	139	5	62
6	115	5	63
6	202	2	64
7	95	3	1
7	179	4	2
7	174	4	3
7	176	5	4
7	155	4	5
7	177	5	6
7	71	4	7
7	219	4	8
7	64	3	9
7	49	3	10
8	258	5	1
8	106	3	2
8	110	5	3
8	114	4	4
8	75	5	5
8	100	4	6
8	148	3	7
8	10	4	8
8	168	3	9
8	142	5	10
8	167	4	11
8	55	4	12
8	134	4	13
8	146	5	14
8	198	3	15
8	248	4	16
8	229	5	17
8	35	5	18
8	163	5	19
8	18	4	20
8	212	5	21
8	91	5	22
8	111	5	23
8	165	4	24
8	205	3	25
8	154	5	26
8	104	5	27
8	65	4	28
8	245	2	29
8	132	5	30
8	40	5	31
9	50	5	1
9	173	5	2
9	73	4	3
9	130	5	4
9	78	4	5
9	8	4	6
9	38	5	7
9	154	5	8
9	103	5	9
9	93	5	10
9	124	5	11
9	61	5	12
9	114	4	13
9	148	4	14
9	88	4	15
9	156	3	16
9	146	5	17
9	79	4	18
9	44	5	19
9	17	5	20
9	100	5	21
9	133	4	22
9	43	3	23
9	39	2	24
9	85	5	25
9	119	5	26
9	194	4	27
9	222	5	28
9	37	4	29
9	265	3	30
9	87	3	31
10	10	5	1
10	155	5	2
10	75	3	3
10	162	5	4
10	101	3	5
10	71	4	6
10	14	5	7
10	182	3	8
11	249	5	1
11	251	4	2
11	271	4	3
11	135	5	4
11	273	4	5
11	255	5	6
11	24	3	7
11	80	4	8
11	81	3	9
11	209	3	10
11	91	5	11
11	47	5	12
11	167	4	13
11	217	5	14
11	148	4	15
11	49	5	16
11	115	3	17
11	73	4	18
11	121	4	19
11	3	5	20
11	54	3	21
11	122	5	22
11	211	4	23
12	239	4	1
12	63	5	2
12	227	5	3
12	163	5	4
12	159	3	5
13	228	4	1
13	191	5	2
13	98	4	3
13	215	3	4
13	39	3	5
13	77	4	6
13	164	4	7
13	85	4	8
14	144	5	1
14	66	3	2
14	261	3	3
14	180	4	4
14	159	4	5
14	212	5	6
14	73	5	7
14	98	4	8
14	130	5	9
14	119	5	10
14	16	4	11
14	187	3	12
14	5	5	13
14	56	4	14
14	229	4	15
14	42	5	16
14	80	4	17
14	232	5	18
14	267	5	19
14	242	3	20
14	222	5	21
14	107	4	22
14	201	4	23
14	139	3	24
15	16	4	1
15	49	4	2
15	238	4	3
15	236	4	4
15	247	3	5
15	134	3	6
15	173	5	7
15	34	4	8
15	105	4	9
15	25	5	10
15	174	4	11
15	144	2	12
15	106	5	13
15	29	2	14
15	230	3	15
15	35	4	16
15	10	5	17
15	162	5	18
15	232	5	19
15	24	3	20
15	273	5	21
15	27	4	22
15	13	5	23
15	21	4	24
16	50	5	1
16	79	3	2
16	231	4	3
16	198	4	4
16	166	4	5
16	7	3	6
16	272	3	7
16	80	4	8
16	45	3	9
16	264	4	10
16	171	4	11
16	143	5	12
16	25	5	13
17	170	4	1
17	223	4	2
17	48	4	3
17	153	3	4
17	20	4	5
17	154	5	6
17	259	2	7
17	2	5	8
17	53	5	9
17	142	5	10
17	158	5	11
17	43	5	12
18	75	2	1
18	37	4	2
18	82	5	3
18	194	3	4
18	108	5	5
18	164	5	6
18	206	4	7
18	63	3	8
18	80	5	9
18	51	5	10
18	114	4	11
18	32	4	12
18	38	4	13
18	6	4	14
18	141	3	15
18	191	4	16
18	17	4	17
18	236	4	18
18	201	3	19
18	61	4	20
18	147	3	21
18	85	3	22
18	261	5	23
18	258	4	24
18	139	4	25
18	35	5	26
18	28	3	27
18	15	4	28
18	150	2	29
18	89	3	30
18	190	4	31
18	41	3	32
18	27	5	33
18	132	4	34
18	54	3	35
18	256	3	36
18	228	4	37
18	154	3	38
18	104	5	39
18	59	3	40
18	124	3	41
18	159	3	42
18	24	4	43
19	108	5	1
19	30	3	2
19	118	4	3
19	234	4	4
19	155	2	5
19	19	5	6
19	105	3	7
19	177	4	8
19	202	4	9
19	63	5	10
19	93	5	11
19	164	4	12
19	6	5	13
19	36	4	14
19	197	5	15
19	44	4	16
19	20	4	17
19	58	4	18
19	135	5	19
19	190	4	20
19	120	3	21
19	156	4	22
19	110	4	23
19	247	5	24
19	238	5	25
19	100	5	26
19	220	5	27
19	17	3	28
19	134	5	29
19	18	4	30
19	80	3	31
19	142	4	32
19	10	4	33
19	4	5	34
19	223	5	35
19	224	4	36
19	231	4	37
19	117	4	38
19	226	4	39
19	78	4	40
19	152	4	41
19	62	5	42
19	257	5	43
19	137	3	44
20	267	5	1
20	85	4	2
20	121	3	3
20	154	5	4
20	208	4	5
20	169	4	6
20	62	4	7
20	111	3	8
20	246	5	9
21	168	4	1
21	272	4	2
21	264	4	3
21	175	5	4
22	113	4	1
22	59	4	2
22	146	5	3
23	89	3	1
23	139	4	2
23	60	4	3
23	127	5	4
23	111	3	5
23	195	5	6
23	259	5	7
23	220	5	8
23	31	5	9
23	16	5	10
23	7	4	11
23	154	4	12
23	77	5	13
24	18	3	1
24	64	4	2
24	62	5	3
24	188	5	4
24	56	3	5
24	146	4	6
24	152	5	7
24	211	3	8
24	9	5	9
24	209	4	10
24	246	5	11
24	47	4	12
24	22	4	13
24	167	4	14
24	199	4	15
24	61	5	16
24	28	4	17
24	224	4	18
24	120	4	19
24	75	5	20
24	84	4	21
24	79	2	22
25	79	2	1
25	161	5	2
25	122	5	3
25	266	3	4
25	220	3	5
25	86	5	6
25	165	3	7
25	6	4	8
25	211	4	9
25	225	5	10
25	261	3	11
25	232	3	12
25	242	5	13
25	76	4	14
25	71	4	15
25	16	3	16
25	245	3	17
25	25	5	18
25	119	4	19
25	17	4	20
25	155	4	21
25	254	5	22
25	166	5	23
25	229	4	24
25	114	4	25
25	159	3	26
25	260	5	27
25	137	4	28
25	2	5	29
25	38	3	30
25	3	5	31
25	169	5	32
25	194	5	33
25	248	5	34
25	40	5	35
